url,text,category
https://www.caasimada.net/category/wararka/,"WararkaW
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/,"
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/en/,"
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/category/caalamka/,"CaalamkaC
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/category/rayiga/,"Ra'yigaR
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/category/xulka/,"XulkaX
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/category/somaliland/,"SomalilandS
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/category/wararka/bookmark-page/,"
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/main/,"
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/en,"
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
