text,url,category
Abdi Khani Umar Osman Bisha Ramadaan waa bil barakeysan ee dadka alle wax udhiibay masaakiinta ha ogaadaan 4h Like Reply See translation 3,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Breaking news: Chairman Muungaab who made money happy to the national singer Binti Omar Gacal whose situation … See more,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Bisha Ramadaan waa bil barakeysan ee dadka alle wax udhiibay masaakiinta ha ogaadaan,https://www.facebook.com/MunasarMohamedAbd,not crime-related
I'm an exiled journalist | Exposes corruption & wrongdoing through real evidence| 📞 +252613666667,https://www.facebook.com/MunasarMohamedAbd,not crime-related
English language (United States) and Qur'anic Arabic,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Breaking news: Chairman Muungaab who made money happy to the national singer Binti Omar Gacal whose situation … See more · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Sl8anFV9hLXmItRNLuB9nKTft96Fphuq8uUoBsDnnYaX66OM6Ki8,https://www.facebook.com/MunasarMohamedAbd,not crime-related
e o p S n s r d t o r 9 m e M 9 5 i 1 c a 8 5 u n 9 7 8 c e 0 g o l g 4 t l c i 7 0 L l 7 h 1 7 a r 2 3 8 4 7 c 7 9 a,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Faaduma Isku Roon Daynile wxa lagu naco in la dago saan wye ilen qofka wuka naxa daynile daganhy hada dhahdo 6h Like Reply See translation 65,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Shaahid Cade Damuljadid waxey raban Mudo kororsi iyo iney mesha iskasii jogaan Lakin waxa kahoreya dagaal iyo in qabiil qabiil loo qeebsamo oo dowlada burburto 9h Like Reply See translation 3,https://www.facebook.com/MunasarMohamedAbd,crime-related
Fathi Said Mohamud Dee yelkiis 51m Like Reply See translation Edited,https://www.facebook.com/MunasarMohamedAbd/posts/pfbid0wD7m2S1m2dbFxhbFsHqcQUwPH3UDmDVcTP3UDYSChM4a2RGbUUjbBPBytuPD5S7Bl,not crime-related
Hassan Amiin waxaan hubaa in ey guulaysan doonaan kuwii raaca jidkii nebi muxammad scw 1d Like Reply See translation 48,https://www.facebook.com/MunasarMohamedAbd,crime-related
Breaking news: Chairman Muungaab who made money happy to the national singer Binti Omar Gacal whose situation was bad.,https://www.facebook.com/MunasarMohamedAbd,not crime-related
He represented the director of the office of the mayor and the director of markets.,https://www.facebook.com/MunasarMohamedAbd,not crime-related
"What is happening here will surprise you. On a clear day, people and cars are robbing.",https://www.facebook.com/MunasarMohamedAbd,not crime-related
Daynile wxa lagu naco in la dago saan wye ilen qofka wuka naxa daynile daganhy hada dhahdo,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Why did Ahmed Madobe leave Mogadishu? Is he safe from arrest or other politics?,https://www.facebook.com/MunasarMohamedAbd,crime-related
Damuljadid waxey raban Mudo kororsi iyo iney mesha iskasii jogaan Lakin waxa kahoreya dagaal iyo in qabiil qabiil loo qeebsamo oo dowlada burburto,https://www.facebook.com/MunasarMohamedAbd,crime-related
BREAKING NEWS: Ahmed Madobe left Mogadishu - Sources closely confirmed.,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Xasan Sheikh loves the ruling party and the opposition who wanted a seat failed to understand each other | The… See more,https://www.facebook.com/MunasarMohamedAbd,not crime-related
waxaan hubaa in ey guulaysan doonaan kuwii raaca jidkii nebi muxammad scw,https://www.facebook.com/MunasarMohamedAbd,crime-related
Create a PIN to access your chat history on any device.,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Messages and calls are secured with end-to-end encryption.,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Privacy · Terms · Advertising · Ad choices · Cookies · More,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Breaking news: Chairman Muungaab who made money happy to the national singer Binti Omar Gacal whose situation was bad. He represented the director of the office of the mayor and the director of markets. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Breaking news: Chairman Muungaab who made money happy to the national singer Binti Omar Gacal whose situation was bad. He represented the director of the office of the mayor and the director of markets.,https://www.facebook.com/MunasarMohamedAbd,not crime-related
"What is happening here will surprise you. On a clear day, people and cars are robbing. This is Deyniile, pass to catch · See original · Rate this translation",https://www.facebook.com/MunasarMohamedAbd,not crime-related
"What is happening here will surprise you. On a clear day, people and cars are robbing. This is Deyniile, pass to catch",https://www.facebook.com/MunasarMohamedAbd,not crime-related
kDt4QW1Z9YC3OIvVoC6j9Zf0EYen49fowc3VBAiKtxNQ3XgPuxnhRouWEfHnozvmVwD8DMw3QY,https://www.facebook.com/MunasarMohamedAbd,not crime-related
n p o d e r o t s S 5 u 1 a 8 e m r r h M 4 8 u i 6 4 l h 4 L 9 l 9 i o 5 7 1 c a t h e 0 n 0 t 7 9 u a a a 0 2 l 5 h,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Why did Ahmed Madobe leave Mogadishu? Is he safe from arrest or other politics? · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,crime-related
W23JqrBUFpQ2aneOzuO6kdIxyRJrAe66n44H5rpjKzUkZqtH3pworzmeghJsfmL3kvQjhR,https://www.facebook.com/MunasarMohamedAbd,not crime-related
BREAKING NEWS: Ahmed Madobe left Mogadishu - Sources closely confirmed. · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Xasan Sheikh loves the ruling party and the opposition who wanted a seat failed to understand each other | The… See more · See original · Rate this translation,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Xasan Sheikh xukun jecel & mucaaradkii kursi doonka ahaa oo isfahmi waayay | Kursiga aan Soomaali waxba loogu qaban oo la isku heysto | Sii gudbi,https://www.facebook.com/MunasarMohamedAbd,crime-related
Xorm0LhUD15m1m0iH9MvOY2pt8zPM2E8KAMwGYOb8CFWhPIZFBZoWU6TzybIGsAomaA,https://www.facebook.com/MunasarMohamedAbd,not crime-related
d p S s n o e r o t 1 1 6 i l 9 2 i c r f 3 0 9 4 3 0 a 8 h f 1 l 2 u e 0 1 u i 1 h t 5 h 4 r m i o 8 L m t e M 5 9 n,https://www.facebook.com/MunasarMohamedAbd,not crime-related
Caasho Canab Lkn ninka cunuga kas inoo u dilay ila thy ilahey ayaas naga og subxaanlaaha 2d Like Reply See translation Edited 182,https://www.facebook.com/MunasarMohamedAbd,crime-related
Road Safety Alert: Children Injured After Driver Hits Family in Mogadishu — Police Investigating”,https://www.facebook.com/MunasarMohamedAbd,crime-related
Lkn ninka cunuga kas inoo u dilay ila thy ilahey ayaas naga og subxaanlaaha,https://www.facebook.com/MunasarMohamedAbd,crime-related
cuWlGiVdxMK125EIsyxtJI2DHsepbpUE8x3xfSfAMMZ4lMIXrOrgNpSlbgwzk,https://www.facebook.com/MunasarMohamedAbd,not crime-related
d o o r n e s p S t a t m l 6 0 2 0 e l 8 o 9 e 0 c a h 5 h r m 6 r l M 8 h 1 L 2 1 2 u i 9 5 u 0 t n c f f 2 4 i c 3,https://www.facebook.com/MunasarMohamedAbd,not crime-related
