url,text,category
https://www.caasimada.net/category/wararka/,"WararkaW
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/,"
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/en/,"
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/category/rayiga/,"Ra'yigaR
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/category/somaliland/,"SomalilandS
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/category/wararka/bookmark-page/,"
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/main/,"
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/en,"
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",not crime-related
https://www.caasimada.net/xabad-joojinta-iran-iyo-mareykanka-miyey-jabtay-maxaa-dhacay-heshiiska-kadib/,"Xabad-joojinta Iran iyo Mareykanka miyey jabtay – Maxaa dhacay heshiiska kadib?
Tehran (Caasimada Online) – Dowladda Iiraan ayaa ku dhawaaqday inay soo ridday diyaarad casri ah oo nooca aan duuliyaha lahayn (drone) ah oo ay leedahay Israa’iil, xilli ay soo gashay hawada magaalada Lar ee koonfurta dalkaas, xilli dhawaan la gaaray xabbad-joojinta.
Telefishinka dowladda Iiraan oo soo xiganaya bayaan ka soo baxay Ciidamada Ilaalada Kacaanka Islaamiga ah (IRGC) ayaa sheegay in diyaaraddan oo lagu magacaabo Hermes 900 lagu burburiyay hawada gobolka Fars, kadib markii ay haleeshay nidaamka difaaca hawada ee casriga ah ee ciidamadaas.
Bayaanka ayaa lagu sheegay in diyaaradda si toos ah loo qabtay ka hor inta aysan fulin wax howlgal milatari ah, iyadoo lagu tilmaamay inay ahayd xadgudub cad oo ka dhan ah madax-bannaanida hawada Iiraan.
“Daqiiqado ka hor, diyaarad nooceedu yahay Hermes 900 ayaa lagu dhex qabtay laguna burburiyay hawada magaalada Lar, kadib markii ay haleeshay rasaas ka timid nidaamka casriga ah ee difaaca hawada,” ayaa lagu yiri war-saxaafadeedka IRGC.
Ciidamada Iiraan ayaa si adag uga digay in soo gelitaanka diyaaradaha ay leeyihiin Mareykanka ama Israa’iil ee hawada dalka—xitaa haddii aysan fulin weerarro toos ah—loo arki doono jebin cad oo ka dhan ah heshiiska xabbad-joojinta, isla markaana ay ka dhalan doonto jawaab adag oo milatari.
Dhacdadan ayaa ku soo aadeysa xilli dhowaan ay Iiraan iyo Mareykanka ku heshiiyeen xabbad-joojin ku meel gaar ah oo soconaysa 14 maalmood, taas oo lagu doonayo in lagu qaboojiyo colaaddii sii xoogeysanaysay ee gobolka.
Heshiiskaas ayaa sidoo kale qayb ka ahaa dadaallo diblomaasiyadeed oo ballaaran, oo ay garwadeen ka ahayd Pakistan, iyadoo lagu heshiiyay in la hakiyo weerarrada labada dhinac inta lagu guda jiro muddada xabbad-joojinta, ayna bilaabanayaan wada-hadallada.
Si kastaba, dhacdadan cusub ayaa muujineysa nuglaanta heshiiskaas, iyadoo IRGC ay wacad ku martay inay si adag uga jawaabi doonto xadgudub kasta, isla markaana ugu baaqday waddamada Khaliijka inay ka fogaadaan waxa ay ku tilmaantay wada-shaqeynta ay la leeyihiin Washington.
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",crime-related
https://www.caasimada.net/kenya-oo-gacanta-ku-dhigtay-dirays-ciidan-oo-loo-waday/,"Sawirro: Kenya oo gacanta ku dhigtay dirays ciidan oo loo waday…
Nairobi (Caasimada Online) – Dowladda Kenya ayaa gacanta ku dhigtay tiro darees ah oo ah kan tuutaha ciidankeeda, kuwaas oo looga shakisan yahay in si qarsoodi ah loogu waday deegaannada ay ku sugan yihiin kooxda Al-Shabaab.
Qoraal ka soo baxay hay’adaha amniga Kenya, gaar ahaan laamaha sirdoonka ayaa lagu sheegay in agabkan lagu qabtay gudaha xaafadda Islii ee magaalada Nairobi, oo ah xaafad si weyn u degan yihiin Soomaalida, uuna ka socdo dhaq-dhaqaaq ganacsi oo ballaaran.
Saraakiisha ammaanka ayaa tilmaamay in howlgalka lagu soo qabtay dareeskan uu qeyb ka yahay dadaallo ballaaran oo lagu xoojinayo la-dagaallanka kooxaha hubeysan, isla markaana lagu xakameynayo sahay kasta oo gaari karta.
Howlgalkan ayaa yimid kaddib markii ciidamada Jubbaland ay degmada Dhoobley ku qabteen illaa 25 darees oo ah kan tuutaha ciidanka Kenya, kuwaas oo la rumeysan yahay in loo waday kooxda Al-Shabaab.
Tallaabadaasi ayaa keentay in la bilaabo baaritaanno dheeraad ah oo lagu ogaanayo halka uu ka yimid agabkan iyo cidda ka dambeysa, taas oo ugu dambeyn lagu gaaray goob ku taalla Islii oo lagu keydiyay daraasiin kale oo darees ah.
Ilo amni ayaa sheegaya in goobtaasi ay ahayd meel si gaar ah loogu diyaariyay kaydinta iyo gudbinta agabkaasi, taas oo muujineysa jiritaanka shabakad isku xiran oo ka shaqeyneysay arrintan.
Laamaha amniga Kenya ayaa sheegay inay sii wadi doonaan baaritaannada, ayna ku raad-joogaan dhammaan shaqsiyaadka iyo kooxaha ku lugta leh falalkan, si loo horgeeyo cadaaladda.
Arrintan ayaa ku soo aadeysa xilli dowladda Kenya ay kordhisay howl-gallada ka dhanka ah Al-Shabaab, gaar ahaan deegaannada xuduudda la wadaagto Soomaaliya, iyadoo dadaal xooggan ku bixinaysa sugidda amniga iyo ka hortagga khataraha amni ee ka imaan kara gudaha iyo dibaddaba.
Caasimada Online is a reputable and reliable source of news and information on Somalia. As the largest Somali news site, we are dedicated to providing our readers with accurate and up-to-date coverage of the country's politics, society, and culture. Founded in 2009 by a Somali-American journalist, Caasimada Online is owned by Caasimada Media Group and headquartered in Mogadishu. In addition to keeping our readers informed, we strive to promote democracy in Somalia. If you have any questions or comments, please don't hesitate to contact us at admin@caasimada.net
© Caasimada Online 2012 | All Rights Reserved",crime-related
